pin,signal,description
37,GPIO7,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
38,GPIO11,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
39,GPIO8,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
40,GPIO9,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
41,GPIO25,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
42,GND,"Ground (0 V)"
43,GND,"Ground (0 V)"
44,GPIO10,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
45,GPIO24,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
46,GPIO22,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
47,GPIO23,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
48,GPIO27,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
49,GPIO18,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
50,GPIO17,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
51,GPIO15,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
52,GND,"Ground (0 V)"
53,GND,"Ground (0 V)"
54,GPIO4,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
55,GPIO14,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V"
56,GPIO3,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V ;"
57,SD_CLK,"SD card clock signal (only available on CM5Lite)"
58,GPIO2,"GPIO: typically a 3.3 V signal, but can be a 1.8 V signal by connecting GPIO_VREF to CM5_1.8V ;"
59,GND,"Ground (0 V)"
60,GND,"Ground (0 V)"
61,SD_DAT3,"SD card/eMMC Data3 signal (only available on CM5Lite)"
62,SD_CMD,"SD card/eMMC Command signal (only available on CM5Lite)"
63,SD_DAT0,"SD card/eMMC Data0 signal (only available on CM5Lite)"
64,SD_DAT5,"SD card/eMMC Data5 signal (only available on CM5Lite)"
65,GND,"Ground (0 V)"
66,GND,"Ground (0 V)"
67,SD_DAT1,"SD card/eMMC Data1 signal (only available on CM5Lite)"
68,SD_DAT4,"SD card/eMMC Data4 signal (only available on CM5Lite)"
69,SD_DAT2,"SD card/eMMC Data2 signal (only available on CM5Lite)"
70,SD_DAT7,"SD card/eMMC Data7 signal (only available on CM5Lite)"
71,GND,"Ground (0 V)"
72,SD_DAT6,"SD card/eMMC Data6 signal (only available on CM5Lite)"
73,SD_VDD_OVERRIDE,"Connect to CM5_3.3V to force SD card/eMMC interface to 1.8 V signalling instead of 3.3 V,"
74,GND,"Ground (0 V)"
75,SD_PWR_ON,"Output to power switch for the SD card; CM5 sets this pin high (3.3 V) to signal that power to"
76,VBAT,"RTC battery input 2.5 V to 3.5 V; typically 3 V"
77,?,"?"
78,GPIO_VREF,"Must be connected to CM5_3.3V (pins 84 and 86) for 3.3 V GPIO0-27 or CM5_1.8V (pins 88 and 90)"
79,?,"?"
80,SCL0,"I2C clock pin (GPIO39): typically used for camera and display; internal 1.8 kΩ pull-up to CM5_3.3V"
81,?,"?"
82,SDA0,"I2C data pin (GPIO38): typically used for camera and display; internal 1.8 kΩ pull-up to CM5_3.3V"
83,?,"?"
84,?,"?"
85,?,"?"
86,?,"?"
87,?,"?"
88,?,"?"
89,WL_nDisable,"Can be left floating; if driven low, the Wi‍-‍Fi interface will be disabled. Internally pulled up through"
90,?,"?"
91,BT_nDisable,"Can be left floating; if driven low, the Bluetooth interface will be disabled; internally pulled up"
92,PWR_Button,"Pull low to force power off or power on from previous software powered off state; internally"
93,nRPIBOOT,"A low on this pin forces booting from an RPI server (for example, PC or a Raspberry Pi); if not"
94,CC1,"USB PSU PD signal; wire to a USB-C connector to enable 5 A at 5 V negotiation."
95,LED_nPWR,"3.3 V signal: active-low output to drive Power On LED; this signal needs to be buffered"
96,CC2,"USB PSU PD signal; wire to a USB-C connector to enable 5 A at 5 V negotiation."
97,CAM_GPIO0,"3.3 V signal: can be a GPIO ( GPIO34 ) or part of the bus with pin 100"
98,GND,"Ground (0 V)"
99,PMIC_Enable,"Input; drive low to power off CM5 internally pulled up with a 100 kΩ to 5 V"
100,CAM_GPIO1,"3.3 V signal ( GPIO35 ): internally pulled up with 15 kΩ to CM5_3.3V"
101,USB_OTG_ID,"Input (3.3 V signal): USB OTG pin; internally pulled up; when grounded, CM5 becomes a USB host"
102,PCIe_CLK_nREQ,"Input (3.3 V signal): PCIe clock request pin (low to request PCI clock); internally pulled up"
103,USB_N,"USB 2.0 D-"
104,PCIE_nWAKE,"3.3 V signal: PCIe WAKE# signal can be left unconnected if wake up isn’t required; internally"
105,USB_P,"USB 2.0 D+"
106,PCIE_PWR_EN,"3.3 V signal: active high, used to signal that a PCIe device can be powered down when low"
107,GND,"Ground (0 V)"
108,GND,"Ground (0 V)"
109,PCIe_nRST,"Output (3.3 V signal): PCIe reset active-low"
110,PCIe_CLK_P,"PCIe clock-out positive (100 MHz)"
111,VBUS_EN,"3.3 V signal: active high to signal USB 3.0 ports should be powered. This is driven internally by"
112,PCIe_CLK_N,"PCIe clock out negative (100 MHz)"
113,GND,"Ground (0 V)"
114,GND,"Ground (0 V)"
115,MIPI0_D0_N,"MIPI0 D0 negative"
116,PCIe_RX_P,"Input PCIe GEN 2 RX positive NB external AC coupling capacitor required"
117,MIPI0_D0_P,"MIPI0 D0 positive"
118,PCIe_RX_N,"Input PCIe GEN 2 RX negative NB external AC coupling capacitor required"
119,GND,"Ground (0 V)"
120,GND,"Ground (0 V)"
121,MIPI0_D1_N,"MIPI0 D1 negative"
122,PCIe_TX_P,"Output PCIe GEN 2 TX positive NB AC coupling capacitor included on CM5"
123,MIPI0_D1_P,"MIPI0 D1 positive"
124,PCIe_TX_N,"Output PCIe GEN 2 TX positive NB AC coupling capacitor included on CM5"
125,GND,"Ground (0 V)"
126,GND,"Ground (0 V)"
127,MIPI0_C_N,"MIPI0 clock negative"
128,USB3-0-RX_N,"USB 3.0 port 0 RX input negative"
129,MIPI0_C_P,"MIPI0 clock positive"
130,USB3-0-RX_P,"USB 3.0 port 0 RX input positive"
131,GND,"Ground (0 V)"
132,GND,"Ground (0 V)"
133,MIPI0_D2_N,"MIPI0 D2 negative"
134,USB3-0-DP,"USB 3.0 port 0 DP"
135,MIPI0_D2_P,"MIPI0 D2 positive"
136,USB3-0-DM,"USB 3.0 port 0 DM"
137,GND,"Ground (0 V)"
138,GND,"Ground (0 V)"
139,MIPI0_D3_N,"MIPI0 D3 negative"
140,USB3-0-TX_N,"USB 3.0 port 0 TX output negative NB AC coupling capacitor included on CM5"
141,MIPI0_D3_P,"MIPI0 D3 positive"
142,USB3-0-TX_P,"USB 3.0 port 0 TX output positive NB AC coupling capacitor included on CM5"
143,HDMI1_HOTPLUG,"Input HDMI1 hotplug; internally pulled down with a 100 kΩ. 5 V tolerant. Can be connected"
144,GND,"Ground (0 V)"
145,HDMI1_SDA,"Bidirectional HDMI1 SDA; internally pulled up with a 1.8 kΩ. 5 V tolerant; can be connected"
146,HDMI1_TX2_P,"Output HDMI1 TX2 positive"
147,HDMI1_SCL,"Bidirectional HDMI1 SCL; internally pulled up with a 1.8 kΩ. 5 V tolerant; can be connected"
148,HDMI1_TX2_N,"Output HDMI1 TX2 negative"
149,HDMI1_CEC,"Input HDMI1 CEC; internally pulled up with a 27 kΩ. 5 V tolerant; can be connected directly to a"
150,GND,"Ground (0 V)"
151,HDMI0_CEC,"Input HDMI0 CEC; internally pulled up with a 27 kΩ. 5 V tolerant; can be connected directly to a"
152,HDMI1_TX1_P,"Output HDMI1 TX1 positive"
153,HDMI0_HOTPLUG,"Input HDMI0 hotplug; internally pulled down 100 kΩ. 5 V tolerant; can be connected directly to a"
154,HDMI1_TX1_N,"Output HDMI1 TX1 negative"
155,GND,"Ground (0 V)"
156,GND,"Ground (0 V)"
157,USB3-1-RX_N,"USB 3.0 port 1 RX input negative"
158,HDMI1_TX0_P,"Output HDMI1 TX0 positive"
159,USB3-1-RX_P,"USB 3.0 port 1 RX input positive"
160,HDMI1_TX0_N,"Output HDMI1 TX0 negative"
161,GND,"Ground (0 V)"
162,GND,"Ground (0 V)"
163,USB3-1-DP,"USB 3.0 port 1 DP"
164,HDMI1_CLK_P,"Output HDMI1 clock positive"
165,USB3-1-DM,"USB 3.0 port 1 DM"
166,HDMI1_CLK_N,"Output HDMI1 clock negative"
167,GND,"Ground (0 V)"
168,GND,"Ground (0 V)"
169,USB3-1-TX_N,"USB 3.0 Port 1 TX output negative NB AC coupling capacitor included on CM5"
170,HDMI0_TX2_P,"Output HDMI0 TX2 positive"
171,USB3-1-TX_P,"USB 3.0 Port 1 TX output positive NB AC coupling capacitor included on CM5"
172,HDMI0_TX2_N,"Output HDMI0 TX2 negative"
173,?,"?"
174,?,"?"
175,?,"?"
176,?,"?"
177,?,"?"
178,?,"?"
179,?,"?"
180,?,"?"
181,?,"?"
182,?,"?"
183,?,"?"
184,?,"?"
185,?,"?"
186,?,"?"
187,?,"?"
188,?,"?"
189,?,"?"
190,?,"?"
191,?,"?"
192,?,"?"
193,?,"?"
194,?,"?"
195,?,"?"
196,?,"?"
197,?,"?"
198,?,"?"
199,?,"?"
200,?,"?"
